Id,Start,Name,Impact,Currency
be36572c-0dbf-4b11-aca1-bf854160ba4a,01/03/2020 13:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
5b125588-01ca-4aca-a365-8902ef7839f1,01/03/2020 15:00:00,ISM Manufacturing PMI,HIGH,USD
3fa72395-467b-48b9-b0a3-29529d398237,01/03/2020 19:00:00,FOMC Minutes,HIGH,USD
2d6440df-69b8-4322-b175-002ae17088e3,01/07/2020 10:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
9671cb3a-f6d0-4192-a982-ac67e5c08304,01/07/2020 10:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
61b73587-20eb-4300-b019-008603aab00b,01/07/2020 15:00:00,ISM Services PMI,HIGH,USD
a6ac24d9-e0a4-4883-ac64-9ca04cb226bd,01/10/2020 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
25bc356b-32af-46f5-931f-a73a3e242229,01/10/2020 13:30:00,Nonfarm Payrolls,HIGH,USD
0bb5ff56-9686-4971-9c2f-29e1d60af6a4,01/14/2020 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
db3c4845-fc93-4f24-a4b6-f82d3f69b985,01/14/2020 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
57f3242b-7c55-4ccb-b936-8098467c5ce7,01/16/2020 07:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
b2fa30df-6215-48eb-9ead-3bbe2a0bbed0,01/16/2020 12:30:00,ECB Monetary Policy Meeting Accounts,HIGH,EUR
2f601fb5-2315-441d-b5cb-17ccd17f664f,01/16/2020 18:00:00,ECB's President Lagarde speech,HIGH,EUR
ab4ac19c-0f69-4384-bc16-4a9d35837ba0,01/20/2020 18:30:00,ECB's President Lagarde speech,HIGH,EUR
6e608cac-7fbf-47a8-b1ac-f8d2c5445bb3,01/21/2020 09:00:00,ECB Bank Lending Survey,HIGH,EUR
cf24b65c-7c17-4811-9aed-8e2af9ab0bdb,01/21/2020 10:00:00,ZEW Survey – Economic Sentiment,HIGH,EUR
66546006-2a29-47b9-a618-5b630247ef95,01/23/2020 12:45:00,ECB Main Refinancing Operations Rate,HIGH,EUR
7b12d24a-29ef-4df4-8622-ecd05a3162b0,01/23/2020 12:45:00,ECB Rate On Deposit Facility,HIGH,EUR
2614bb74-e02d-49f8-b938-04567d06b053,01/23/2020 13:30:00,ECB Press Conference,HIGH,EUR
d6325e0f-f0af-43ea-ba8a-6e5da7d4b42f,01/24/2020 08:30:00,HCOB Composite PMI,HIGH,EUR
f6f3e4b1-43a1-4d16-87a9-b8787bdb212d,01/24/2020 08:30:00,HCOB Manufacturing PMI,HIGH,EUR
b3ca2c64-b028-4364-97fa-3bd39d82755b,01/24/2020 09:00:00,HCOB Composite PMI,HIGH,EUR
712f8d23-1a13-4163-b11f-bbb47a83d39e,01/24/2020 10:30:00,ECB's President Lagarde speech,HIGH,EUR
da69e2c8-b39c-441a-9422-1f9c9c41007f,01/28/2020 13:30:00,Nondefense Capital Goods Orders ex Aircraft,HIGH,USD
088a324d-7e8c-4c41-951f-adb4cb7d9b09,01/29/2020 19:00:00,Fed Interest Rate Decision,HIGH,USD
0a39e563-e8fe-406a-9c08-908d9edccd82,01/29/2020 19:30:00,FOMC Press Conference,HIGH,USD
ec43303f-4b43-4617-b2be-c5ff4eed2171,01/30/2020 13:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
36ae7ee6-45fc-4f10-9160-0eb8adc568e1,01/30/2020 13:30:00,Gross Domestic Product Annualized,HIGH,USD
b89161d3-091c-4bc0-9b23-bd510f82aabc,01/31/2020 10:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
01e93d60-086d-41eb-b2ff-3bd2025e8e6b,01/31/2020 10:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
43339a4e-6097-473e-be76-51bb6678be02,01/31/2020 10:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
7752f1cc-a1ce-4e9c-9900-43b6e5a9387c,01/31/2020 10:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
ed0c6307-b5a7-46c6-88bb-d60ab7d8dafe,02/03/2020 15:00:00,ISM Manufacturing PMI,HIGH,USD
f1f36445-315d-4339-b365-b83d54aea9d2,02/05/2020 12:15:00,ECB's President Lagarde speech,HIGH,EUR
edb0b490-d67f-4b26-82b7-6162bb78b924,02/05/2020 15:00:00,ISM Services PMI,HIGH,USD
ff708974-b0a6-4114-95e9-3f95c31bd4fe,02/06/2020 08:00:00,ECB's President Lagarde speech,HIGH,EUR
b92f5e6a-b5c7-4db9-a613-9bfcd642c5a1,02/07/2020 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
65a3ab28-7c5f-4fb4-ab1c-ba08a0be516f,02/07/2020 13:30:00,Nonfarm Payrolls,HIGH,USD
45e3bdbf-650f-4433-b737-b26ffe1615e8,02/11/2020 14:00:00,ECB's President Lagarde speech,HIGH,EUR
5c6a9f9b-b38f-4ff1-94b1-07b3a85d3dd0,02/11/2020 15:00:00,Fed's Chair Powell testifies,HIGH,USD
fd7cd57b-9aee-4f50-a410-9d01a3090083,02/12/2020 14:30:00,Fed's Chair Powell testifies,HIGH,USD
930427a8-3471-4237-aefb-16d4147c4ba5,02/13/2020 07:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
696c8232-b1ca-4ccd-a0e7-e2bce15f13f2,02/13/2020 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
118833de-84e2-4ebf-8b17-d66c4f5ded65,02/13/2020 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
773bb2a7-c017-4b86-9476-b737bccfa436,02/14/2020 07:00:00,Gross Domestic Product (QoQ),HIGH,EUR
d70da135-c815-476c-bf7f-e6afbe06b4f4,02/14/2020 10:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
957473dc-c17a-44f4-96f7-271706378f90,02/14/2020 10:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
be83909e-1d4d-488e-a407-2ec68a8cf7c5,02/18/2020 10:00:00,ZEW Survey – Economic Sentiment,HIGH,EUR
03c4546b-45bd-4d1b-b9f5-d0af5f0c7b40,02/19/2020 19:00:00,FOMC Minutes,HIGH,USD
77acba5d-682e-4a16-8832-4a0ad174219e,02/20/2020 12:30:00,ECB Monetary Policy Meeting Accounts,HIGH,EUR
41140d39-40dc-4c82-b0e9-6d5bfdfa2f6b,02/21/2020 08:30:00,HCOB Composite PMI,HIGH,EUR
